language,age_group,education_level,exposure_type,daily_practice_hours,spoken_at_home,reading_score,writing_score,speaking_score,overall_proficiency
Marathi,Senior (36+),No Formal,Media + School,5,Yes,58.2,46.1,50.9,51.8
Tamil,Child (6-12),Primary,Immersive,2,Yes,80.1,62.3,91.1,77.2
Bengali,Child (6-12),Postgraduate,Media + School,12,No,100.0,96.7,100.0,98.8
Bengali,Teenager (13-19),Postgraduate,School Only,8,No,100.0,80.1,100.0,93.0
Kannada,Adult (20-35),Postgraduate,Immersive,11,No,100.0,100.0,100.0,100.0
Hindi,Child (6-12),Graduate,School Only,9,Yes,100.0,95.5,100.0,98.4
Hindi,Adult (20-35),Secondary,Native,13,Yes,100.0,91.2,98.9,96.6
Kannada,Child (6-12),Secondary,Media + School,14,Yes,86.8,95.7,89.6,90.8
Kannada,Child (6-12),No Formal,Immersive,5,No,31.5,37.6,74.5,46.5
Kannada,Senior (36+),Graduate,School Only,3,No,82.6,81.1,66.6,77.3
Tamil,Senior (36+),Postgraduate,Media + School,11,No,100.0,85.0,96.2,93.6
Marathi,Senior (36+),Postgraduate,Media + School,6,Yes,100.0,100.0,99.3,99.8
Hindi,Adult (20-35),Primary,Native,7,No,77.4,82.3,86.8,81.9
Tamil,Teenager (13-19),Primary,Native,8,Yes,86.5,83.7,100.0,89.6
Kannada,Child (6-12),Postgraduate,Media + School,12,No,100.0,100.0,91.2,97.4
Hindi,Child (6-12),Postgraduate,Media + School,10,Yes,100.0,100.0,100.0,100.0
Tamil,Child (6-12),Graduate,Immersive,5,Yes,100.0,100.0,96.2,98.9
Marathi,Adult (20-35),Secondary,Media + School,14,No,96.9,91.3,86.7,91.9
Tamil,Senior (36+),Primary,Immersive,5,Yes,75.8,85.3,84.2,81.6
Marathi,Teenager (13-19),Secondary,Media + School,7,No,82.7,74.4,80.7,79.2
Kannada,Adult (20-35),Graduate,Native,11,Yes,100.0,100.0,100.0,100.0
Marathi,Senior (36+),Postgraduate,Immersive,4,No,100.0,100.0,100.0,100.0
Hindi,Adult (20-35),Secondary,School Only,13,No,80.2,81.3,92.6,84.3
Kannada,Teenager (13-19),Postgraduate,Native,2,Yes,100.0,100.0,100.0,100.0
Hindi,Senior (36+),Postgraduate,Immersive,11,No,100.0,100.0,100.0,100.0
Bengali,Adult (20-35),No Formal,Immersive,2,Yes,55.9,54.2,49.0,53.2
English,Teenager (13-19),Secondary,School Only,12,No,63.3,72.7,88.9,74.3
Marathi,Child (6-12),Secondary,Immersive,5,No,79.0,74.4,100.0,83.7
English,Teenager (13-19),Postgraduate,Media + School,1,No,100.0,99.9,100.0,100.0
English,Child (6-12),Graduate,School Only,5,No,80.1,95.6,88.2,88.0
Marathi,Adult (20-35),No Formal,Native,12,Yes,76.0,61.2,85.3,73.6
Kannada,Senior (36+),Postgraduate,Native,5,No,100.0,96.4,93.4,96.8
Bengali,Senior (36+),Primary,Media + School,7,No,57.8,35.3,58.1,50.0
Hindi,Adult (20-35),Primary,Native,6,Yes,71.7,94.9,78.5,81.9
Tamil,Senior (36+),No Formal,Immersive,7,Yes,64.2,43.3,77.4,60.8
Hindi,Senior (36+),Graduate,Immersive,13,Yes,100.0,100.0,100.0,100.0
Tamil,Child (6-12),Postgraduate,Media + School,8,Yes,100.0,96.6,100.0,98.8
Hindi,Adult (20-35),Secondary,Native,5,Yes,96.1,90.1,100.0,95.2
Marathi,Teenager (13-19),No Formal,Native,13,Yes,83.4,73.9,86.0,80.9
Bengali,Child (6-12),Graduate,Media + School,2,No,85.9,82.6,94.2,87.2
Tamil,Adult (20-35),Secondary,School Only,9,Yes,86.0,63.5,94.6,80.7
Kannada,Child (6-12),Primary,Native,2,No,82.5,60.8,63.1,69.1
Hindi,Teenager (13-19),Primary,School Only,10,Yes,67.3,80.0,82.2,76.2
Hindi,Teenager (13-19),Secondary,Native,11,No,98.7,88.0,91.8,92.9
Tamil,Adult (20-35),No Formal,Native,0,No,45.9,42.8,70.9,52.3
Kannada,Teenager (13-19),Primary,Native,10,No,73.2,91.1,87.1,83.6
Kannada,Child (6-12),Postgraduate,Native,14,Yes,100.0,100.0,97.8,99.3
Marathi,Teenager (13-19),Secondary,Immersive,12,Yes,99.2,98.4,100.0,99.2
Marathi,Child (6-12),Secondary,School Only,14,Yes,93.9,96.0,82.7,91.3
Marathi,Child (6-12),Primary,School Only,4,Yes,79.8,61.6,76.3,72.4
Marathi,Teenager (13-19),No Formal,Native,13,No,63.8,83.3,78.5,75.0
Marathi,Adult (20-35),Postgraduate,Native,3,Yes,100.0,100.0,98.2,99.5
Marathi,Senior (36+),No Formal,School Only,8,No,41.5,49.2,43.7,44.9
Bengali,Teenager (13-19),Graduate,Immersive,14,No,100.0,97.6,100.0,99.2
Kannada,Child (6-12),Graduate,Media + School,8,Yes,100.0,93.3,100.0,97.7
Marathi,Child (6-12),Primary,Media + School,14,Yes,94.3,86.5,100.0,93.3
Kannada,Teenager (13-19),Primary,School Only,13,Yes,55.1,79.9,79.4,71.1
Kannada,Adult (20-35),Primary,Native,4,No,51.9,65.2,69.6,61.9
English,Adult (20-35),Graduate,Native,9,Yes,100.0,100.0,91.7,97.5
Bengali,Child (6-12),No Formal,Immersive,3,No,58.3,58.7,36.1,51.8
Marathi,Child (6-12),No Formal,Media + School,6,Yes,44.5,72.7,60.2,59.1
Hindi,Adult (20-35),Primary,Immersive,14,No,56.9,77.8,86.9,73.2
Tamil,Senior (36+),Postgraduate,Media + School,5,Yes,100.0,94.1,100.0,97.9
Hindi,Teenager (13-19),No Formal,School Only,3,Yes,46.4,50.2,53.9,50.0
Bengali,Child (6-12),Graduate,Media + School,12,No,92.3,93.8,98.8,94.8
Tamil,Child (6-12),Secondary,Immersive,12,Yes,95.1,90.4,100.0,94.9
Bengali,Adult (20-35),Secondary,Immersive,14,Yes,98.2,98.1,91.5,96.2
Kannada,Teenager (13-19),Secondary,Immersive,9,Yes,99.4,97.5,100.0,98.9
Tamil,Adult (20-35),Postgraduate,School Only,1,Yes,91.5,84.7,100.0,91.7
Kannada,Teenager (13-19),Primary,Media + School,0,Yes,67.0,61.0,68.4,65.3
Hindi,Teenager (13-19),Graduate,Media + School,3,Yes,74.7,91.5,98.3,87.7
Hindi,Teenager (13-19),Postgraduate,Immersive,3,Yes,100.0,87.7,100.0,95.7
Tamil,Child (6-12),Graduate,Media + School,12,No,92.0,82.0,95.2,89.5
Tamil,Senior (36+),Graduate,Native,0,No,92.9,100.0,92.0,95.1
Marathi,Adult (20-35),Primary,Native,5,Yes,78.2,90.8,82.3,83.8
Bengali,Senior (36+),Secondary,Native,3,Yes,100.0,91.9,100.0,97.2
Marathi,Adult (20-35),Primary,Media + School,0,Yes,48.1,66.7,71.1,61.5
Bengali,Teenager (13-19),Postgraduate,School Only,0,No,85.4,90.8,94.4,90.0
Marathi,Child (6-12),Postgraduate,School Only,14,No,100.0,100.0,100.0,100.0
Kannada,Senior (36+),Postgraduate,School Only,12,Yes,100.0,100.0,94.7,98.4
Tamil,Child (6-12),Primary,School Only,0,No,41.1,53.1,52.1,48.6
Hindi,Adult (20-35),Graduate,Native,7,Yes,100.0,95.6,100.0,98.5
Bengali,Child (6-12),Graduate,Native,9,Yes,100.0,89.9,100.0,96.5
Bengali,Child (6-12),No Formal,Immersive,7,Yes,46.4,77.5,71.0,64.7
Hindi,Senior (36+),Postgraduate,Media + School,1,Yes,100.0,100.0,99.2,99.8
Marathi,Teenager (13-19),Graduate,Media + School,10,No,98.0,89.4,100.0,95.6
Bengali,Child (6-12),No Formal,School Only,12,No,57.4,51.4,52.2,53.7
Kannada,Teenager (13-19),Graduate,Native,6,Yes,100.0,96.5,97.5,98.0
Tamil,Adult (20-35),Postgraduate,School Only,13,No,100.0,91.9,100.0,97.2
Hindi,Child (6-12),Secondary,Immersive,7,No,100.0,89.6,68.3,86.8
Tamil,Senior (36+),Postgraduate,Media + School,7,Yes,100.0,100.0,100.0,100.0
Bengali,Adult (20-35),Primary,Media + School,10,No,70.2,75.6,88.2,77.5
Bengali,Adult (20-35),Graduate,School Only,9,Yes,98.6,90.7,88.1,92.7
Hindi,Senior (36+),Graduate,Immersive,14,Yes,100.0,100.0,100.0,100.0
Kannada,Child (6-12),Primary,Media + School,10,Yes,88.8,70.1,72.1,77.2
English,Child (6-12),Primary,Immersive,12,Yes,83.1,91.4,83.9,86.2
Hindi,Adult (20-35),Secondary,Immersive,6,No,88.0,95.3,95.5,92.8
English,Child (6-12),Graduate,School Only,4,Yes,78.5,86.3,97.1,86.8
Marathi,Teenager (13-19),Graduate,Native,0,No,85.6,89.1,100.0,91.1
English,Senior (36+),Secondary,School Only,11,Yes,98.0,92.6,92.4,94.4
Kannada,Teenager (13-19),No Formal,Native,8,Yes,69.2,86.5,73.3,76.5
Marathi,Child (6-12),Secondary,Immersive,12,No,100.0,85.0,100.0,94.8
English,Adult (20-35),Postgraduate,Native,6,Yes,100.0,96.0,100.0,98.6
Marathi,Senior (36+),Graduate,Immersive,1,No,76.8,99.4,92.7,89.5
English,Child (6-12),Primary,Media + School,5,No,67.6,55.4,62.4,61.8
Kannada,Child (6-12),Postgraduate,Media + School,1,Yes,99.8,100.0,100.0,99.9
English,Adult (20-35),Graduate,Media + School,14,Yes,100.0,99.2,95.5,98.4
English,Adult (20-35),Secondary,School Only,0,Yes,70.2,57.1,66.3,64.4
English,Teenager (13-19),Postgraduate,School Only,13,Yes,100.0,100.0,100.0,100.0
Hindi,Senior (36+),Graduate,Immersive,6,Yes,100.0,95.2,100.0,98.3
Hindi,Senior (36+),No Formal,Media + School,12,Yes,83.6,79.4,56.5,74.0
Hindi,Adult (20-35),No Formal,School Only,1,No,35.4,32.0,49.4,38.4
Kannada,Teenager (13-19),Primary,Media + School,12,No,70.5,70.5,72.7,71.2
Marathi,Senior (36+),Graduate,School Only,13,Yes,100.0,99.8,100.0,99.9
Bengali,Adult (20-35),No Formal,Native,13,No,71.2,70.5,71.5,71.0
English,Child (6-12),Secondary,Native,1,No,83.2,71.9,82.5,79.0
English,Senior (36+),Graduate,Media + School,12,Yes,100.0,100.0,100.0,100.0
Kannada,Teenager (13-19),Secondary,Immersive,10,Yes,100.0,92.9,98.5,97.1
English,Teenager (13-19),Secondary,School Only,4,No,74.3,56.8,43.7,59.0
Hindi,Teenager (13-19),No Formal,School Only,13,Yes,52.8,52.7,57.3,54.1
Bengali,Child (6-12),Graduate,Native,4,No,100.0,92.9,100.0,97.5
Tamil,Senior (36+),Postgraduate,Native,6,Yes,100.0,95.0,92.1,95.9
English,Senior (36+),No Formal,Immersive,0,No,37.9,39.8,51.2,42.6
Hindi,Child (6-12),No Formal,Immersive,7,No,63.5,38.6,45.2,49.3
Tamil,Senior (36+),Graduate,Immersive,2,No,90.7,93.8,100.0,94.6
Bengali,Child (6-12),Graduate,Media + School,3,No,93.6,73.3,87.6,84.7
Tamil,Child (6-12),Secondary,Native,14,Yes,100.0,100.0,94.8,98.4
Hindi,Child (6-12),Graduate,Media + School,8,Yes,100.0,100.0,100.0,100.0
Marathi,Teenager (13-19),Secondary,Native,3,No,88.4,81.7,71.6,81.0
Marathi,Senior (36+),No Formal,Native,9,No,65.8,79.0,68.2,71.1
Tamil,Child (6-12),Primary,School Only,11,Yes,55.5,63.8,64.9,61.2
Kannada,Senior (36+),Postgraduate,Native,14,Yes,100.0,91.3,99.1,96.7
Tamil,Teenager (13-19),No Formal,Native,4,No,63.4,64.8,39.5,56.7
English,Child (6-12),Graduate,Media + School,6,No,90.9,97.3,100.0,95.9
English,Adult (20-35),Postgraduate,Native,3,No,100.0,99.7,100.0,99.9
Marathi,Teenager (13-19),Primary,Media + School,13,No,61.6,75.8,77.4,71.3
Kannada,Adult (20-35),Primary,Immersive,0,No,51.4,60.3,60.9,57.4
Hindi,Senior (36+),Secondary,Native,8,Yes,85.8,97.5,100.0,94.2
English,Senior (36+),Postgraduate,Native,3,No,100.0,100.0,96.5,99.0
Marathi,Teenager (13-19),Secondary,Media + School,8,Yes,85.2,84.9,96.3,88.4
Bengali,Senior (36+),No Formal,Immersive,5,Yes,54.8,50.9,71.6,58.5
Marathi,Adult (20-35),Postgraduate,School Only,14,Yes,100.0,100.0,100.0,100.0
English,Child (6-12),No Formal,Immersive,0,No,47.9,37.1,48.4,44.3
English,Child (6-12),Secondary,Media + School,11,Yes,100.0,81.7,90.6,90.8
Marathi,Child (6-12),Postgraduate,Immersive,2,Yes,100.0,92.7,98.4,97.0
Hindi,Teenager (13-19),Secondary,Media + School,10,Yes,100.0,100.0,92.6,97.8
Tamil,Senior (36+),Postgraduate,Media + School,1,Yes,100.0,100.0,100.0,100.0
English,Adult (20-35),Secondary,School Only,8,No,65.8,84.7,63.0,71.6
Marathi,Senior (36+),Primary,Native,14,No,87.6,92.2,88.9,89.6
Marathi,Senior (36+),Secondary,Media + School,11,Yes,90.8,96.0,98.9,95.0
Kannada,Senior (36+),Primary,Media + School,0,Yes,64.5,71.8,77.1,70.8
Tamil,Child (6-12),Secondary,School Only,12,No,90.1,82.1,72.2,81.9
Bengali,Adult (20-35),Postgraduate,Media + School,13,No,100.0,97.3,100.0,99.1
Hindi,Adult (20-35),Postgraduate,Native,8,No,100.0,96.9,100.0,98.9
Bengali,Senior (36+),Postgraduate,School Only,8,Yes,100.0,100.0,100.0,100.0
Tamil,Child (6-12),Graduate,Native,7,No,93.6,90.5,95.9,93.2
Tamil,Child (6-12),No Formal,Native,7,Yes,68.8,69.2,66.2,68.2
Tamil,Adult (20-35),Postgraduate,School Only,10,Yes,100.0,100.0,100.0,100.0
Bengali,Child (6-12),Primary,Media + School,13,No,60.3,85.3,69.8,71.9
Tamil,Child (6-12),Postgraduate,Native,11,Yes,100.0,100.0,100.0,100.0
Marathi,Child (6-12),Graduate,Native,0,No,96.0,100.0,100.0,98.6
Bengali,Teenager (13-19),Primary,Native,10,Yes,82.1,83.6,95.9,86.8
Tamil,Senior (36+),Graduate,Native,7,No,99.2,98.2,100.0,99.1
Marathi,Adult (20-35),Primary,School Only,9,Yes,65.1,63.0,72.4,66.6
Kannada,Adult (20-35),Secondary,School Only,13,Yes,78.6,93.3,83.7,85.3
Tamil,Teenager (13-19),No Formal,Immersive,2,No,40.2,48.4,50.5,46.2
Bengali,Senior (36+),No Formal,Immersive,10,No,65.6,44.9,69.0,59.4
English,Adult (20-35),Graduate,Native,6,No,93.5,100.0,95.7,96.4
Tamil,Child (6-12),No Formal,Media + School,10,No,40.2,49.2,45.2,44.8
English,Adult (20-35),Graduate,Native,14,Yes,100.0,95.8,100.0,98.5
Marathi,Child (6-12),Graduate,Media + School,0,No,88.9,84.3,74.6,83.0
Kannada,Teenager (13-19),Graduate,Native,0,No,93.4,100.0,100.0,97.7
Hindi,Child (6-12),No Formal,Immersive,9,Yes,64.8,63.3,74.3,67.1
Kannada,Adult (20-35),Graduate,Immersive,12,No,100.0,100.0,100.0,100.0
Tamil,Adult (20-35),No Formal,Media + School,4,No,30.0,57.7,43.1,43.6
English,Adult (20-35),Graduate,Native,4,Yes,100.0,98.8,100.0,99.6
English,Teenager (13-19),Postgraduate,Media + School,7,No,100.0,95.8,100.0,98.5
Bengali,Teenager (13-19),Graduate,Immersive,6,No,95.7,89.3,100.0,94.8
English,Senior (36+),Primary,Native,7,No,83.5,77.1,81.2,80.6
Bengali,Adult (20-35),Graduate,Native,5,No,93.5,99.3,97.5,96.7
Marathi,Child (6-12),Secondary,Media + School,5,No,84.5,78.3,80.6,81.2
Hindi,Teenager (13-19),Graduate,School Only,1,No,77.7,82.8,83.2,81.1
Tamil,Adult (20-35),Primary,Media + School,5,Yes,67.8,77.7,79.3,74.7
Bengali,Adult (20-35),Primary,Immersive,4,No,65.8,40.4,73.2,59.1
Hindi,Teenager (13-19),No Formal,Immersive,12,Yes,72.1,74.3,84.2,76.5
English,Senior (36+),Postgraduate,Immersive,2,Yes,100.0,92.2,99.3,97.1
English,Teenager (13-19),Graduate,Immersive,5,Yes,98.9,91.6,100.0,96.7
Hindi,Teenager (13-19),No Formal,Immersive,7,Yes,59.4,77.5,86.7,73.9
English,Child (6-12),Postgraduate,School Only,8,No,100.0,84.8,87.9,91.0
Marathi,Child (6-12),Graduate,Native,0,No,90.2,72.0,98.5,86.3
Marathi,Senior (36+),Secondary,Media + School,2,No,78.2,59.9,92.9,76.2
Hindi,Adult (20-35),Graduate,Media + School,2,Yes,100.0,93.4,98.3,97.2
Bengali,Teenager (13-19),Primary,Immersive,10,No,71.8,74.1,90.6,78.2
Bengali,Senior (36+),Primary,Media + School,7,No,69.0,70.5,58.8,66.5
Hindi,Child (6-12),Secondary,Immersive,0,No,65.8,55.8,69.8,63.5
Bengali,Teenager (13-19),No Formal,School Only,4,Yes,52.0,40.2,53.3,48.3
Bengali,Adult (20-35),Postgraduate,School Only,2,Yes,99.6,98.8,100.0,99.4
Marathi,Child (6-12),Graduate,Native,1,No,100.0,97.4,94.4,97.4
Bengali,Child (6-12),Primary,School Only,14,Yes,70.8,76.7,59.7,69.5
Kannada,Child (6-12),No Formal,School Only,7,Yes,37.2,49.6,45.9,44.2
Tamil,Senior (36+),Secondary,Native,2,No,87.0,87.1,68.0,81.3
English,Adult (20-35),Primary,Media + School,6,Yes,55.5,61.0,77.4,64.0
Kannada,Teenager (13-19),Secondary,Immersive,11,Yes,99.0,98.2,100.0,99.0
Bengali,Senior (36+),Graduate,Immersive,10,No,100.0,88.6,100.0,96.0
Marathi,Senior (36+),Postgraduate,Media + School,0,Yes,100.0,99.6,100.0,99.9
Hindi,Senior (36+),Primary,Native,5,Yes,98.1,67.1,88.4,84.3
Bengali,Child (6-12),Primary,Media + School,2,Yes,74.2,73.8,67.3,72.0
Marathi,Adult (20-35),Graduate,School Only,7,Yes,90.3,97.6,97.0,94.9
Tamil,Senior (36+),No Formal,Native,5,Yes,67.7,76.5,67.3,70.7
Bengali,Teenager (13-19),Postgraduate,Native,11,Yes,100.0,93.2,100.0,97.6
Hindi,Adult (20-35),Primary,Native,1,Yes,63.8,69.2,87.8,72.9
Marathi,Teenager (13-19),Postgraduate,Immersive,5,Yes,100.0,96.2,100.0,98.7
Marathi,Adult (20-35),Primary,Media + School,6,No,57.5,63.0,68.5,62.7
Marathi,Teenager (13-19),Postgraduate,Native,4,No,94.7,93.4,92.0,93.4
Tamil,Child (6-12),Secondary,Native,2,No,83.4,73.7,74.7,77.4
Bengali,Senior (36+),Primary,Native,3,No,67.5,68.6,82.4,72.4
Tamil,Teenager (13-19),Postgraduate,Media + School,3,Yes,94.1,86.9,100.0,93.4
English,Adult (20-35),No Formal,Immersive,5,No,55.7,47.7,52.1,51.8
English,Senior (36+),Secondary,School Only,9,No,79.2,91.1,73.9,81.8
Bengali,Senior (36+),Secondary,Immersive,0,Yes,86.8,90.9,69.9,83.2
Tamil,Adult (20-35),No Formal,Native,10,Yes,72.4,90.8,75.8,79.9
Hindi,Teenager (13-19),Postgraduate,Immersive,3,Yes,100.0,99.7,100.0,99.9
Marathi,Child (6-12),Graduate,Immersive,9,Yes,100.0,94.1,100.0,97.9
Marathi,Child (6-12),No Formal,School Only,12,Yes,60.5,53.2,59.5,57.6
Bengali,Teenager (13-19),Postgraduate,Media + School,3,No,90.9,90.0,100.0,93.3
English,Senior (36+),No Formal,Media + School,9,Yes,63.7,55.2,60.8,59.9
English,Senior (36+),No Formal,Immersive,0,No,54.6,48.3,64.3,55.3
Marathi,Senior (36+),Primary,Immersive,8,No,67.2,63.4,79.3,69.5
Bengali,Senior (36+),Postgraduate,Media + School,3,Yes,100.0,100.0,100.0,100.0
Tamil,Teenager (13-19),Graduate,Media + School,6,No,87.8,86.4,100.0,91.0
English,Senior (36+),Primary,School Only,11,No,61.8,67.7,54.9,61.8
Tamil,Adult (20-35),No Formal,Native,13,Yes,74.1,67.5,63.9,68.7
English,Senior (36+),No Formal,Immersive,2,No,49.8,46.0,59.8,51.5
English,Child (6-12),No Formal,Media + School,9,No,37.6,51.8,55.2,47.8
Kannada,Senior (36+),Postgraduate,Immersive,11,No,100.0,100.0,100.0,100.0
English,Teenager (13-19),Postgraduate,Immersive,2,Yes,100.0,94.5,100.0,98.1
Hindi,Child (6-12),Primary,Media + School,13,Yes,83.6,93.7,81.0,86.4
Bengali,Teenager (13-19),Graduate,School Only,7,Yes,100.0,84.2,100.0,94.5
Bengali,Teenager (13-19),Primary,Immersive,7,No,75.7,70.4,71.9,72.7
Tamil,Child (6-12),Secondary,School Only,10,Yes,66.0,70.1,98.7,77.2
English,Teenager (13-19),No Formal,Media + School,11,No,70.8,50.7,40.0,54.5
Hindi,Teenager (13-19),No Formal,Native,0,Yes,62.4,58.2,60.9,60.5
Tamil,Senior (36+),No Formal,Native,9,No,57.3,66.9,69.9,64.4
Kannada,Adult (20-35),Primary,Immersive,1,Yes,72.8,71.5,88.6,77.1
Tamil,Teenager (13-19),Primary,Media + School,7,Yes,74.9,51.0,66.5,64.0
Tamil,Teenager (13-19),No Formal,School Only,0,No,24.7,17.2,41.8,27.2
English,Teenager (13-19),Primary,Immersive,14,Yes,92.6,88.3,100.0,93.3
Kannada,Senior (36+),Postgraduate,Media + School,11,No,100.0,91.9,100.0,97.2
Tamil,Adult (20-35),Postgraduate,Media + School,7,Yes,100.0,95.0,100.0,98.2
Hindi,Child (6-12),Primary,School Only,7,Yes,60.0,68.7,74.1,67.3
Hindi,Senior (36+),No Formal,Immersive,1,No,35.0,65.7,66.8,55.3
Bengali,Senior (36+),Primary,Media + School,3,No,58.7,63.7,68.1,63.3
Kannada,Adult (20-35),Primary,Media + School,5,No,65.2,68.4,37.4,58.0
Kannada,Adult (20-35),Primary,Media + School,11,Yes,83.6,67.9,88.0,79.4
Bengali,Senior (36+),Secondary,School Only,10,No,81.6,76.1,83.2,80.2
Tamil,Child (6-12),Postgraduate,Immersive,8,Yes,100.0,94.9,98.1,97.6
Kannada,Senior (36+),Graduate,Immersive,14,No,100.0,97.4,100.0,99.1
Hindi,Adult (20-35),Graduate,Immersive,7,No,100.0,100.0,100.0,100.0
Hindi,Child (6-12),Secondary,Immersive,11,No,80.6,87.4,98.1,88.2
English,Adult (20-35),Primary,Native,14,No,78.8,82.7,73.6,78.6
Kannada,Child (6-12),Secondary,Native,7,No,82.8,96.3,98.3,92.2
Tamil,Teenager (13-19),Secondary,Immersive,6,No,92.6,83.3,86.9,87.6
Bengali,Adult (20-35),No Formal,School Only,13,Yes,67.0,50.7,61.4,59.6
Bengali,Adult (20-35),Postgraduate,Native,12,No,100.0,98.8,100.0,99.6
Tamil,Senior (36+),Graduate,Media + School,8,Yes,100.0,97.6,92.8,97.0
Marathi,Adult (20-35),Primary,Native,14,No,79.0,74.2,84.1,78.8
English,Adult (20-35),Graduate,Media + School,1,No,87.3,76.7,85.9,83.2
Bengali,Teenager (13-19),Graduate,Immersive,2,No,92.0,100.0,100.0,97.2
Kannada,Adult (20-35),Postgraduate,Native,9,Yes,100.0,94.3,100.0,98.0
English,Teenager (13-19),Graduate,School Only,7,Yes,94.6,78.1,93.4,88.5
Kannada,Teenager (13-19),Graduate,Native,13,No,100.0,100.0,100.0,100.0
Hindi,Teenager (13-19),Secondary,Native,5,Yes,100.0,87.1,100.0,95.5
English,Teenager (13-19),Postgraduate,Native,9,No,100.0,92.4,100.0,97.3
Bengali,Child (6-12),No Formal,Immersive,8,No,51.7,47.5,71.8,56.3
English,Senior (36+),Primary,School Only,9,Yes,68.0,68.7,78.6,71.4
English,Child (6-12),Graduate,Native,3,Yes,100.0,100.0,96.5,99.0
English,Adult (20-35),Primary,School Only,7,Yes,45.5,59.1,72.7,58.4
Marathi,Child (6-12),No Formal,Immersive,9,Yes,70.1,65.4,63.0,66.3
English,Child (6-12),Primary,Media + School,2,No,60.9,56.6,57.1,58.3
Kannada,Adult (20-35),No Formal,Native,2,Yes,65.1,54.1,72.6,63.5
