language,age_group,education_level,exposure_type,daily_practice_hours,spoken_at_home,reading_score,writing_score,speaking_score,overall_proficiency
Hindi,Adult (20-35),Secondary,School Only,7,Yes,64.9,81.0,90.4,78.2
Tamil,Adult (20-35),Graduate,School Only,4,No,78.2,85.9,73.0,79.3
English,Child (6-12),No Formal,Immersive,2,Yes,40.3,79.7,57.9,59.4
Bengali,Child (6-12),Primary,Native,9,Yes,99.5,83.0,91.8,91.4
English,Adult (20-35),Graduate,Media + School,10,Yes,99.3,91.7,100.0,96.8
Bengali,Senior (36+),Secondary,School Only,0,Yes,80.0,74.9,61.7,72.7
Kannada,Senior (36+),Graduate,Native,14,No,100.0,94.2,100.0,98.0
Bengali,Teenager (13-19),No Formal,Media + School,2,No,33.8,23.5,25.6,27.7
Tamil,Adult (20-35),Secondary,School Only,11,Yes,77.4,75.1,96.5,82.3
Hindi,Teenager (13-19),Primary,School Only,8,Yes,69.8,53.7,52.8,59.1
Bengali,Senior (36+),Secondary,Media + School,4,No,67.2,79.4,97.8,80.6
Bengali,Teenager (13-19),Secondary,Media + School,11,Yes,95.3,100.0,74.9,90.8
Hindi,Adult (20-35),Postgraduate,Immersive,9,Yes,100.0,100.0,100.0,100.0
Tamil,Adult (20-35),Secondary,Native,14,Yes,96.8,95.5,100.0,97.3
English,Adult (20-35),Secondary,Native,1,Yes,73.7,87.0,75.3,78.8
Bengali,Child (6-12),Graduate,Immersive,6,Yes,100.0,96.5,91.9,96.3
Hindi,Teenager (13-19),Primary,School Only,14,Yes,71.5,69.6,86.3,75.3
Kannada,Senior (36+),Graduate,Media + School,1,Yes,90.1,96.5,80.3,89.4
Hindi,Senior (36+),Graduate,Media + School,3,Yes,100.0,79.4,100.0,92.8
Kannada,Senior (36+),No Formal,Media + School,11,Yes,73.9,68.8,69.8,70.9
Tamil,Child (6-12),Graduate,School Only,6,No,81.8,64.3,98.3,80.6
English,Child (6-12),Postgraduate,Media + School,3,No,94.8,99.1,90.8,95.1
Hindi,Adult (20-35),Postgraduate,Media + School,6,No,100.0,95.0,100.0,98.2
Marathi,Senior (36+),No Formal,Immersive,6,Yes,53.1,71.7,65.3,63.3
Bengali,Child (6-12),Primary,School Only,0,Yes,56.8,46.0,47.1,50.1
Tamil,Adult (20-35),Primary,Native,5,No,76.9,56.5,67.8,67.0
Hindi,Senior (36+),Graduate,Immersive,8,Yes,100.0,100.0,100.0,100.0
Bengali,Teenager (13-19),Graduate,Immersive,1,No,76.0,97.6,98.0,90.2
Hindi,Adult (20-35),Graduate,Native,13,Yes,100.0,100.0,100.0,100.0
Kannada,Child (6-12),Primary,Immersive,2,No,56.0,63.7,67.5,62.1
Hindi,Child (6-12),Secondary,School Only,9,No,74.3,62.1,70.8,69.0
Marathi,Adult (20-35),Postgraduate,Media + School,4,No,100.0,95.4,88.0,94.8
Hindi,Adult (20-35),Secondary,School Only,8,Yes,94.0,65.4,90.9,83.1
Hindi,Child (6-12),Secondary,Native,3,No,80.5,66.9,80.8,75.8
Marathi,Teenager (13-19),Primary,Native,0,Yes,71.0,83.8,71.0,75.5
Tamil,Senior (36+),Secondary,Immersive,3,Yes,98.7,83.7,89.6,90.7
Hindi,Teenager (13-19),No Formal,School Only,5,Yes,49.9,25.8,51.1,41.8
Marathi,Adult (20-35),Graduate,School Only,4,Yes,100.0,82.0,97.6,93.0
Bengali,Teenager (13-19),No Formal,Native,13,Yes,81.8,71.8,71.1,75.1
Kannada,Child (6-12),Postgraduate,School Only,12,Yes,100.0,100.0,100.0,100.0
Kannada,Adult (20-35),Graduate,Native,0,Yes,94.3,88.6,94.7,92.4
Hindi,Senior (36+),Secondary,School Only,3,No,52.1,56.3,88.1,64.4
Tamil,Child (6-12),Postgraduate,School Only,5,No,97.8,93.8,89.1,93.8
Tamil,Child (6-12),Graduate,School Only,12,No,100.0,86.7,96.3,94.2
Bengali,Senior (36+),Secondary,Native,14,Yes,100.0,94.0,100.0,97.9
Hindi,Senior (36+),No Formal,Immersive,9,Yes,75.2,62.1,58.0,65.5
Kannada,Teenager (13-19),Graduate,School Only,9,Yes,100.0,100.0,100.0,100.0
Tamil,Adult (20-35),Secondary,Native,13,Yes,100.0,99.6,100.0,99.9
Hindi,Senior (36+),No Formal,Native,3,No,45.2,65.4,55.7,55.4
Tamil,Senior (36+),Postgraduate,School Only,14,Yes,100.0,94.9,91.8,95.8
Marathi,Adult (20-35),Postgraduate,School Only,13,No,100.0,100.0,100.0,100.0
Tamil,Senior (36+),Postgraduate,Immersive,8,Yes,100.0,96.5,100.0,98.8
Kannada,Senior (36+),Postgraduate,Native,4,No,100.0,100.0,100.0,100.0
English,Teenager (13-19),Primary,Native,7,Yes,88.1,78.1,86.0,84.0
Bengali,Child (6-12),Graduate,Media + School,8,No,100.0,85.5,84.5,90.3
Bengali,Child (6-12),Graduate,Native,9,Yes,100.0,100.0,100.0,100.0
Kannada,Child (6-12),Primary,Immersive,4,No,70.4,60.6,74.5,68.2
Tamil,Child (6-12),Secondary,Media + School,5,Yes,92.3,88.9,85.1,89.0
Hindi,Senior (36+),Secondary,Media + School,0,No,72.1,70.3,60.9,68.1
Tamil,Adult (20-35),Postgraduate,Media + School,10,No,100.0,95.9,97.0,97.7
Kannada,Adult (20-35),No Formal,School Only,11,Yes,62.6,56.6,49.2,56.5
Bengali,Teenager (13-19),Secondary,School Only,14,No,69.8,80.3,78.7,76.1
Tamil,Teenager (13-19),No Formal,Native,6,Yes,77.4,82.9,80.5,80.3
Bengali,Senior (36+),Graduate,Media + School,3,Yes,87.9,100.0,92.4,93.5
Hindi,Adult (20-35),No Formal,Immersive,10,Yes,72.3,77.8,86.6,78.5
Bengali,Adult (20-35),Graduate,School Only,1,No,69.7,82.2,88.4,79.7
Bengali,Child (6-12),Primary,Immersive,4,No,70.4,47.1,77.0,64.2
English,Senior (36+),Primary,Immersive,11,Yes,86.2,92.5,97.3,91.7
English,Senior (36+),Postgraduate,School Only,2,Yes,85.2,91.4,100.0,91.8
Marathi,Child (6-12),Secondary,School Only,5,No,70.9,70.2,60.2,67.4
English,Senior (36+),Postgraduate,School Only,7,No,90.9,97.3,90.2,92.9
Bengali,Senior (36+),Graduate,School Only,6,No,91.0,58.7,76.7,75.4
Kannada,Teenager (13-19),Postgraduate,Media + School,2,Yes,100.0,98.4,100.0,99.4
Bengali,Adult (20-35),No Formal,Media + School,7,Yes,61.7,49.5,52.6,54.7
Kannada,Senior (36+),Graduate,Media + School,1,Yes,86.8,96.6,88.1,90.6
Kannada,Teenager (13-19),Primary,Media + School,9,Yes,71.8,72.0,79.6,74.2
English,Adult (20-35),Secondary,Native,8,Yes,98.3,100.0,100.0,99.4
Tamil,Child (6-12),Graduate,Media + School,3,No,94.4,87.8,99.9,93.7
Hindi,Teenager (13-19),Graduate,School Only,0,Yes,98.4,89.0,88.6,92.2
English,Teenager (13-19),No Formal,Immersive,7,No,49.1,43.9,61.5,51.0
English,Adult (20-35),Secondary,Media + School,6,No,85.6,63.9,89.9,79.3
Tamil,Child (6-12),Primary,Native,10,Yes,72.6,89.0,93.4,84.6
Hindi,Teenager (13-19),Graduate,School Only,12,No,83.4,100.0,89.0,90.9
Bengali,Senior (36+),Graduate,Immersive,4,Yes,98.3,90.9,100.0,96.2
Marathi,Senior (36+),No Formal,Immersive,9,No,47.7,59.0,60.8,55.6
Marathi,Senior (36+),Postgraduate,Media + School,12,Yes,100.0,100.0,100.0,100.0
Bengali,Child (6-12),Primary,Immersive,4,Yes,79.3,74.2,81.9,78.3
English,Teenager (13-19),Secondary,Media + School,6,No,75.3,69.1,85.5,76.2
Hindi,Senior (36+),Graduate,Media + School,4,Yes,100.0,100.0,95.0,98.5
English,Child (6-12),Graduate,School Only,7,No,91.0,88.3,74.1,85.0
Kannada,Senior (36+),Primary,School Only,10,Yes,72.1,61.6,82.8,71.6
English,Adult (20-35),Postgraduate,Native,12,Yes,100.0,91.0,100.0,96.8
English,Teenager (13-19),Graduate,School Only,5,Yes,91.9,81.3,100.0,90.6
Bengali,Teenager (13-19),Primary,School Only,12,No,53.5,52.1,66.6,56.9
Bengali,Child (6-12),No Formal,Media + School,4,No,52.5,38.3,46.9,45.8
Bengali,Child (6-12),Postgraduate,School Only,8,Yes,100.0,99.0,100.0,99.6
Marathi,Teenager (13-19),Secondary,Media + School,10,No,75.5,76.3,96.0,81.9
Kannada,Senior (36+),Graduate,Media + School,1,Yes,93.1,98.0,85.2,92.4
Bengali,Senior (36+),Primary,School Only,0,No,37.7,62.5,45.3,48.7
Hindi,Adult (20-35),No Formal,Native,7,No,57.2,54.0,50.9,54.2
Marathi,Senior (36+),Secondary,Native,11,Yes,100.0,100.0,100.0,100.0
Tamil,Child (6-12),Primary,Immersive,2,Yes,75.8,82.0,73.7,77.3
Hindi,Child (6-12),Primary,Immersive,13,Yes,82.3,84.0,86.1,84.0
Hindi,Senior (36+),Secondary,School Only,10,Yes,81.1,88.6,71.9,81.0
Bengali,Child (6-12),No Formal,Native,11,Yes,85.1,86.7,75.9,82.9
Tamil,Teenager (13-19),No Formal,Media + School,11,No,58.5,65.2,61.6,61.8
Tamil,Teenager (13-19),Postgraduate,Immersive,11,No,100.0,96.7,100.0,98.8
Marathi,Senior (36+),Graduate,Media + School,6,Yes,100.0,100.0,100.0,100.0
Tamil,Teenager (13-19),Secondary,Immersive,9,Yes,100.0,100.0,99.6,99.9
Kannada,Teenager (13-19),Secondary,School Only,12,Yes,76.9,64.6,96.6,78.5
Bengali,Adult (20-35),Secondary,Native,10,No,100.0,92.0,100.0,97.2
Tamil,Adult (20-35),No Formal,Immersive,7,Yes,65.1,40.7,68.1,57.5
Marathi,Teenager (13-19),Graduate,Native,14,Yes,100.0,97.7,100.0,99.2
Kannada,Senior (36+),Postgraduate,Media + School,12,No,100.0,95.9,100.0,98.6
English,Adult (20-35),Primary,School Only,12,No,70.6,69.0,81.8,73.4
English,Child (6-12),Primary,Native,5,No,76.5,63.1,63.4,67.9
Kannada,Child (6-12),Secondary,School Only,11,No,69.5,67.2,84.5,73.2
Marathi,Child (6-12),Graduate,Native,9,Yes,100.0,93.2,97.6,96.9
Kannada,Senior (36+),No Formal,Media + School,13,No,52.4,34.7,62.5,49.2
Bengali,Teenager (13-19),Graduate,Media + School,8,No,96.7,98.0,82.8,93.0
Bengali,Child (6-12),Graduate,School Only,6,Yes,91.6,86.2,100.0,92.2
English,Senior (36+),No Formal,Media + School,14,Yes,67.2,56.6,71.4,64.8
Tamil,Adult (20-35),Secondary,Immersive,9,Yes,100.0,76.5,100.0,91.8
Marathi,Teenager (13-19),Graduate,Native,4,No,92.7,98.2,100.0,96.8
English,Adult (20-35),Primary,Media + School,7,Yes,89.1,76.5,83.6,83.0
Tamil,Senior (36+),No Formal,Immersive,14,No,51.4,59.7,57.5,56.1
Tamil,Child (6-12),Postgraduate,School Only,1,No,81.7,77.6,85.8,81.5
Bengali,Child (6-12),Secondary,Immersive,6,No,87.0,67.2,88.9,80.6
Hindi,Senior (36+),No Formal,School Only,14,Yes,65.7,59.7,57.9,61.3
Hindi,Child (6-12),Postgraduate,School Only,3,No,88.7,83.4,94.5,88.6
Kannada,Teenager (13-19),Postgraduate,Native,8,Yes,100.0,100.0,100.0,100.0
Bengali,Senior (36+),Graduate,Native,11,Yes,100.0,98.2,100.0,99.4
Tamil,Adult (20-35),Graduate,Immersive,0,Yes,98.2,80.2,87.4,88.7
Marathi,Senior (36+),Graduate,Native,6,No,100.0,98.5,99.7,99.4
Hindi,Teenager (13-19),No Formal,Native,5,No,64.2,38.7,61.5,54.5
Tamil,Teenager (13-19),No Formal,Native,7,No,67.5,67.6,53.8,63.4
Hindi,Senior (36+),Secondary,Immersive,4,Yes,83.3,96.8,95.4,91.7
Hindi,Senior (36+),Graduate,Media + School,14,No,100.0,99.7,100.0,99.9
Hindi,Child (6-12),Postgraduate,Native,0,No,100.0,95.3,100.0,98.4
Marathi,Teenager (13-19),Primary,Native,0,No,57.0,49.6,69.8,58.2
Bengali,Senior (36+),Secondary,Immersive,8,No,89.9,67.2,96.6,84.0
Marathi,Senior (36+),No Formal,Media + School,14,No,54.7,54.6,69.2,59.0
English,Teenager (13-19),Secondary,Native,9,Yes,100.0,100.0,100.0,100.0
Tamil,Senior (36+),Secondary,School Only,5,Yes,68.9,96.0,81.3,82.1
Bengali,Child (6-12),Secondary,Immersive,9,Yes,100.0,95.4,95.5,97.0
Bengali,Teenager (13-19),Secondary,Native,4,Yes,88.8,85.0,91.8,88.4
Bengali,Child (6-12),Primary,Native,14,No,87.8,83.6,83.0,84.9
Bengali,Child (6-12),Graduate,School Only,0,Yes,91.3,88.3,100.0,92.9
Marathi,Child (6-12),Postgraduate,School Only,5,No,87.9,92.8,77.6,86.5
Bengali,Child (6-12),Secondary,Immersive,5,Yes,99.3,94.1,78.7,91.3
Kannada,Teenager (13-19),Secondary,Immersive,2,Yes,78.2,90.7,100.0,89.1
Tamil,Child (6-12),Secondary,School Only,12,Yes,99.6,83.5,98.2,93.5
Bengali,Child (6-12),Graduate,Immersive,7,No,100.0,94.6,100.0,98.1
Tamil,Senior (36+),No Formal,School Only,13,No,44.7,53.5,42.9,47.2
Kannada,Teenager (13-19),No Formal,Native,14,Yes,78.6,78.4,79.8,78.9
Kannada,Teenager (13-19),Primary,School Only,0,No,51.5,43.5,53.9,49.4
Tamil,Adult (20-35),No Formal,School Only,0,Yes,35.3,27.4,40.8,34.2
Hindi,Teenager (13-19),Secondary,Media + School,5,Yes,79.5,90.8,89.9,86.6
English,Teenager (13-19),Secondary,School Only,9,Yes,81.7,77.3,85.4,81.3
Hindi,Adult (20-35),Secondary,School Only,12,No,68.6,85.6,66.3,73.9
Hindi,Teenager (13-19),Primary,Media + School,0,Yes,77.6,63.3,80.3,73.4
Marathi,Teenager (13-19),Secondary,Immersive,5,Yes,88.0,85.6,100.0,90.8
Hindi,Teenager (13-19),No Formal,Media + School,0,Yes,54.7,56.3,56.8,55.9
Bengali,Teenager (13-19),Graduate,Native,13,No,100.0,100.0,96.9,99.1
Marathi,Adult (20-35),Graduate,Media + School,12,Yes,100.0,100.0,100.0,100.0
Marathi,Teenager (13-19),Postgraduate,Native,5,No,100.0,97.8,100.0,99.2
Kannada,Teenager (13-19),No Formal,Immersive,2,Yes,64.3,69.2,62.7,65.5
Hindi,Adult (20-35),Secondary,Media + School,13,No,86.0,86.9,65.3,80.1
Kannada,Senior (36+),Graduate,Media + School,13,Yes,100.0,96.6,100.0,98.8
Tamil,Child (6-12),No Formal,Immersive,14,Yes,84.2,56.0,72.6,70.8
English,Senior (36+),Graduate,Native,7,No,100.0,98.4,100.0,99.4
Marathi,Adult (20-35),Secondary,Media + School,12,No,82.3,93.7,85.0,87.1
Tamil,Child (6-12),Graduate,Native,14,Yes,100.0,92.6,100.0,97.4
Tamil,Adult (20-35),Postgraduate,Media + School,5,No,95.6,100.0,100.0,98.5
Bengali,Adult (20-35),Postgraduate,School Only,12,Yes,100.0,92.0,98.1,96.6
English,Teenager (13-19),Graduate,Media + School,10,Yes,100.0,99.1,100.0,99.7
Tamil,Child (6-12),No Formal,Immersive,12,Yes,55.6,53.7,76.5,61.2
Tamil,Teenager (13-19),No Formal,Immersive,0,No,44.9,60.9,61.9,55.6
English,Child (6-12),No Formal,Native,14,Yes,82.3,83.6,68.2,78.5
English,Adult (20-35),Graduate,Media + School,4,No,86.8,89.4,95.8,90.4
Tamil,Adult (20-35),No Formal,Native,7,Yes,80.8,73.3,73.2,75.9
English,Senior (36+),Secondary,Native,2,No,86.4,100.0,73.9,87.4
Tamil,Child (6-12),Postgraduate,School Only,11,No,100.0,87.8,99.6,95.6
Tamil,Teenager (13-19),Secondary,School Only,5,Yes,75.8,70.4,83.4,76.2
Bengali,Senior (36+),No Formal,Immersive,4,No,58.5,45.6,64.5,55.8
Hindi,Senior (36+),Secondary,Native,5,Yes,100.0,85.3,100.0,94.9
Tamil,Senior (36+),No Formal,Immersive,9,Yes,79.0,63.3,54.2,66.1
Kannada,Teenager (13-19),Graduate,Media + School,0,Yes,84.3,100.0,99.3,94.3
Marathi,Senior (36+),Secondary,Native,6,Yes,97.0,93.1,100.0,96.5
Hindi,Teenager (13-19),Graduate,Native,8,Yes,100.0,100.0,100.0,100.0
Hindi,Senior (36+),Graduate,Media + School,1,No,88.4,82.8,80.1,84.0
Hindi,Teenager (13-19),Primary,Media + School,9,Yes,82.0,90.2,72.9,82.1
Bengali,Adult (20-35),No Formal,Immersive,14,No,59.3,71.5,61.6,64.3
Tamil,Adult (20-35),Postgraduate,Immersive,4,No,100.0,89.7,100.0,96.4
Bengali,Adult (20-35),No Formal,Media + School,9,Yes,45.3,40.4,68.9,50.7
Tamil,Adult (20-35),Postgraduate,Immersive,3,No,100.0,96.6,100.0,98.8
Bengali,Adult (20-35),No Formal,Media + School,5,Yes,51.4,69.9,73.5,64.5
Bengali,Senior (36+),Graduate,Native,5,No,100.0,97.8,99.1,99.0
Marathi,Senior (36+),Secondary,Native,10,No,92.5,81.1,77.6,84.0
Kannada,Senior (36+),Secondary,School Only,1,No,70.7,46.6,62.7,59.9
Bengali,Teenager (13-19),Primary,Native,1,Yes,53.8,79.9,71.1,68.1
Marathi,Teenager (13-19),Postgraduate,Media + School,3,No,97.4,98.8,89.8,95.6
English,Teenager (13-19),Postgraduate,Immersive,0,Yes,100.0,98.0,94.5,97.6
Kannada,Teenager (13-19),Postgraduate,School Only,8,No,93.4,96.8,89.4,93.4
Bengali,Adult (20-35),Graduate,Immersive,13,No,100.0,100.0,93.6,98.1
Hindi,Adult (20-35),Postgraduate,Media + School,13,No,100.0,100.0,100.0,100.0
English,Adult (20-35),Secondary,Native,12,No,100.0,83.8,89.3,91.1
English,Child (6-12),Graduate,School Only,6,Yes,96.9,93.6,100.0,96.7
Marathi,Senior (36+),No Formal,Media + School,11,Yes,74.6,72.7,84.3,76.8
English,Teenager (13-19),Postgraduate,School Only,6,No,88.7,83.4,95.1,88.8
Kannada,Teenager (13-19),Postgraduate,School Only,14,No,100.0,90.1,100.0,96.5
Bengali,Adult (20-35),No Formal,Native,2,Yes,71.8,52.6,68.6,64.1
Bengali,Teenager (13-19),Postgraduate,Media + School,14,Yes,100.0,100.0,100.0,100.0
Hindi,Teenager (13-19),No Formal,Immersive,10,Yes,57.6,40.8,72.2,56.1
Marathi,Senior (36+),Graduate,School Only,14,Yes,100.0,97.7,100.0,99.2
Hindi,Adult (20-35),Secondary,School Only,11,No,79.6,63.7,59.7,68.1
English,Senior (36+),No Formal,Immersive,2,No,54.7,49.5,42.6,49.2
Hindi,Child (6-12),Primary,Media + School,0,Yes,57.6,71.7,70.8,66.5
Kannada,Child (6-12),No Formal,School Only,2,Yes,19.7,44.8,30.8,31.8
Bengali,Child (6-12),Postgraduate,School Only,2,Yes,100.0,83.7,99.8,94.2
English,Adult (20-35),Graduate,School Only,3,Yes,79.7,79.2,93.6,83.7
Hindi,Teenager (13-19),Graduate,Media + School,3,Yes,81.4,98.2,99.1,92.6
Marathi,Adult (20-35),No Formal,Media + School,2,Yes,28.3,55.8,53.8,45.6
Kannada,Adult (20-35),Secondary,Immersive,9,No,95.0,76.8,98.3,89.6
Kannada,Teenager (13-19),Primary,Media + School,11,No,70.5,76.5,58.6,69.0
Hindi,Senior (36+),Graduate,Media + School,7,No,91.7,79.6,100.0,90.0
Bengali,Child (6-12),Postgraduate,Native,7,Yes,100.0,100.0,100.0,100.0
Hindi,Senior (36+),Postgraduate,Immersive,12,Yes,100.0,100.0,100.0,100.0
English,Child (6-12),Secondary,School Only,12,Yes,100.0,76.2,84.5,87.0
Hindi,Adult (20-35),Graduate,Media + School,0,No,71.9,90.0,77.0,79.8
Kannada,Child (6-12),No Formal,School Only,6,Yes,48.7,63.3,60.4,57.3
Hindi,Adult (20-35),Postgraduate,School Only,10,Yes,97.1,99.3,100.0,98.7
Bengali,Senior (36+),Secondary,Native,1,No,79.7,77.2,73.1,76.8
Marathi,Adult (20-35),Graduate,Media + School,0,Yes,91.0,100.0,98.5,96.4
Tamil,Senior (36+),Graduate,Immersive,2,No,98.0,95.8,92.5,95.6
Hindi,Teenager (13-19),Graduate,Media + School,3,No,87.9,83.9,94.3,88.4
Bengali,Teenager (13-19),Graduate,School Only,12,Yes,100.0,100.0,100.0,100.0
Bengali,Teenager (13-19),Graduate,Immersive,5,No,100.0,90.3,100.0,96.6
Marathi,Adult (20-35),Postgraduate,Media + School,9,Yes,100.0,100.0,100.0,100.0
Kannada,Teenager (13-19),Secondary,School Only,13,No,77.0,69.2,93.7,79.3
Bengali,Child (6-12),Graduate,School Only,4,Yes,83.5,91.7,87.8,87.7
Bengali,Senior (36+),Primary,Native,14,No,88.0,74.6,100.0,86.9
Bengali,Senior (36+),Primary,Native,14,Yes,89.6,78.2,100.0,88.7
Bengali,Child (6-12),Secondary,Native,13,No,100.0,96.7,100.0,98.8
English,Adult (20-35),No Formal,School Only,3,No,32.2,27.3,40.4,32.9
English,Adult (20-35),No Formal,Media + School,7,No,44.0,59.3,48.3,50.6
Kannada,Senior (36+),No Formal,Native,10,Yes,71.2,75.4,72.2,73.0
Hindi,Teenager (13-19),Primary,Media + School,11,Yes,85.2,77.4,86.3,82.8
Bengali,Adult (20-35),No Formal,Native,13,No,68.2,59.0,54.7,60.9
Marathi,Adult (20-35),Postgraduate,Immersive,3,Yes,100.0,100.0,100.0,100.0
Hindi,Child (6-12),Graduate,Immersive,12,No,100.0,100.0,100.0,100.0
Marathi,Child (6-12),Primary,Native,9,Yes,81.7,92.2,93.7,89.0
Hindi,Teenager (13-19),Secondary,School Only,11,No,76.8,76.2,68.0,73.9
Kannada,Adult (20-35),Secondary,Native,12,Yes,100.0,98.9,98.3,99.1
Bengali,Adult (20-35),Graduate,Native,1,No,83.4,100.0,99.2,93.9
Bengali,Child (6-12),Primary,School Only,14,No,69.8,43.2,44.8,53.0
Tamil,Adult (20-35),No Formal,Immersive,2,No,39.6,41.4,52.6,44.1
Marathi,Senior (36+),No Formal,Media + School,5,No,52.1,33.9,50.6,45.3
Hindi,Child (6-12),Postgraduate,Native,7,Yes,100.0,95.8,100.0,98.5
Hindi,Teenager (13-19),Postgraduate,School Only,7,No,100.0,90.5,91.9,94.2
English,Child (6-12),No Formal,Native,14,Yes,89.8,78.9,88.7,85.7
Tamil,Adult (20-35),Secondary,School Only,10,Yes,91.9,90.0,88.7,90.3
English,Teenager (13-19),Secondary,Media + School,14,No,91.0,94.3,92.7,92.7
English,Child (6-12),Postgraduate,Media + School,8,Yes,100.0,100.0,100.0,100.0
English,Senior (36+),Graduate,Immersive,6,Yes,100.0,96.6,98.1,98.2
Marathi,Senior (36+),No Formal,School Only,12,Yes,69.8,48.5,79.4,65.2
Marathi,Child (6-12),Postgraduate,School Only,1,No,80.9,82.1,72.3,78.7
Kannada,Senior (36+),Postgraduate,Immersive,7,Yes,100.0,91.3,100.0,97.0
Kannada,Senior (36+),No Formal,Immersive,6,Yes,69.3,50.7,54.7,58.4
English,Senior (36+),No Formal,School Only,7,No,34.1,53.5,46.7,44.7
Tamil,Teenager (13-19),Secondary,Immersive,11,No,83.9,68.0,90.2,80.2
Hindi,Senior (36+),Graduate,Media + School,2,Yes,84.5,98.2,99.3,93.7
Marathi,Senior (36+),Graduate,Native,6,No,100.0,100.0,100.0,100.0
Tamil,Senior (36+),No Formal,Media + School,9,Yes,60.8,66.5,65.5,64.2
Bengali,Teenager (13-19),Primary,Immersive,12,Yes,89.9,76.3,83.2,83.1
Marathi,Child (6-12),Postgraduate,School Only,8,Yes,100.0,100.0,94.7,98.4
Marathi,Adult (20-35),Postgraduate,School Only,2,No,92.2,90.8,89.6,90.9
Kannada,Senior (36+),No Formal,Media + School,13,Yes,66.0,55.0,67.2,62.5
Hindi,Child (6-12),Primary,School Only,9,No,56.9,58.5,64.2,59.6
Hindi,Senior (36+),Secondary,Immersive,5,No,86.6,85.1,95.5,88.7
